      TIME       MSD_x       DSD_y       MSD_z      MSD_xy      MSD_xz      MSD_yz     MSD_xyz       STD_x       STD_y       STD_z      STD_xy      STD_xz      STD_yz     STD_xyz        N_eff
5.00000e-01 3.25399e+00 3.21911e+00 3.21867e+00 6.47310e+00 6.47266e+00 6.43778e+00 9.69177e+00 2.93451e-02 2.90305e-02 2.90265e-02 4.12778e-02 4.12750e-02 4.10525e-02 5.04617e-02 1.49540e+00
1.50000e+00 5.37946e+00 5.30459e+00 5.28637e+00 1.06840e+01 1.06658e+01 1.05910e+01 1.59704e+01 5.86533e-02 5.78369e-02 5.76383e-02 8.23710e-02 8.22306e-02 8.16533e-02 1.00533e-01 2.47233e+00
2.50000e+00 7.60405e+00 7.46023e+00 7.46133e+00 1.50643e+01 1.50654e+01 1.49216e+01 2.25256e+01 9.66107e-02 9.47835e-02 9.47974e-02 1.35336e-01 1.35346e-01 1.34054e-01 1.65233e-01 3.48825e+00
3.50000e+00 9.72317e+00 9.34093e+00 9.57467e+00 1.90641e+01 1.92978e+01 1.89156e+01 2.86388e+01 1.38942e-01 1.33480e-01 1.36819e-01 1.92631e-01 1.94993e-01 1.91130e-01 2.36275e-01 4.48227e+00
4.50000e+00 1.19871e+01 1.16957e+01 1.17837e+01 2.36828e+01 2.37709e+01 2.34795e+01 3.54666e+01 1.88381e-01 1.83802e-01 1.85185e-01 2.63173e-01 2.64151e-01 2.60913e-01 3.21797e-01 5.46447e+00
5.50000e+00 1.39852e+01 1.35268e+01 1.35371e+01 2.75120e+01 2.75223e+01 2.70639e+01 4.10491e+01 2.37681e-01 2.29891e-01 2.30066e-01 3.30624e-01 3.30747e-01 3.25239e-01 4.02782e-01 6.41977e+00
6.50000e+00 1.66304e+01 1.55932e+01 1.57407e+01 3.22236e+01 3.23711e+01 3.13339e+01 4.79643e+01 3.03804e-01 2.84857e-01 2.87552e-01 4.16246e-01 4.18152e-01 4.04754e-01 5.05882e-01 7.43996e+00
7.50000e+00 1.87434e+01 1.75223e+01 1.74328e+01 3.62656e+01 3.61762e+01 3.49551e+01 5.36985e+01 3.63931e-01 3.40222e-01 3.38485e-01 4.97911e-01 4.96683e-01 4.79918e-01 6.01967e-01 8.42120e+00
8.50000e+00 2.06513e+01 1.95123e+01 2.00264e+01 4.01637e+01 4.06777e+01 3.95387e+01 6.01900e+01 4.23324e-01 3.99976e-01 4.10513e-01 5.82161e-01 5.89612e-01 5.73102e-01 7.12342e-01 9.39874e+00
9.50000e+00 2.32039e+01 2.19684e+01 2.18840e+01 4.51724e+01 4.50879e+01 4.38524e+01 6.70563e+01 4.99310e-01 4.72724e-01 4.70906e-01 6.87332e-01 6.86047e-01 6.67248e-01 8.33082e-01 1.03672e+01
1.05000e+01 2.52368e+01 2.36842e+01 2.40530e+01 4.89210e+01 4.92899e+01 4.77372e+01 7.29741e+01 5.67575e-01 5.32656e-01 5.40951e-01 7.77981e-01 7.83847e-01 7.59155e-01 9.47537e-01 1.13328e+01
1.15000e+01 2.73842e+01 2.63165e+01 2.61649e+01 5.37007e+01 5.35491e+01 5.24814e+01 7.98656e+01 6.42062e-01 6.17027e-01 6.13474e-01 8.90310e-01 8.87797e-01 8.70095e-01 1.08112e+00 1.23243e+01
1.25000e+01 2.99887e+01 2.77503e+01 2.85385e+01 5.77391e+01 5.85273e+01 5.62889e+01 8.62776e+01 7.30631e-01 6.76096e-01 6.95299e-01 9.94706e-01 1.00828e+00 9.69723e-01 1.21361e+00 1.33132e+01
1.35000e+01 3.20069e+01 2.94489e+01 3.02989e+01 6.14558e+01 6.23058e+01 5.97477e+01 9.17546e+01 8.07859e-01 7.43293e-01 7.64747e-01 1.09683e+00 1.11200e+00 1.06635e+00 1.33708e+00 1.42935e+01
1.45000e+01 3.46203e+01 3.19784e+01 3.18500e+01 6.65987e+01 6.64703e+01 6.38284e+01 9.84487e+01 9.04735e-01 8.35694e-01 8.32339e-01 1.23067e+00 1.22830e+00 1.17948e+00 1.48539e+00 1.53272e+01
1.55000e+01 3.65626e+01 3.41287e+01 3.40191e+01 7.06912e+01 7.05816e+01 6.81477e+01 1.04710e+02 9.84997e-01 9.19429e-01 9.16475e-01 1.34663e+00 1.34454e+00 1.29818e+00 1.62865e+00 1.62920e+01
1.65000e+01 3.96015e+01 3.62736e+01 3.63602e+01 7.58751e+01 7.59618e+01 7.26338e+01 1.12235e+02 1.09950e+00 1.00710e+00 1.00951e+00 1.48959e+00 1.49129e+00 1.42596e+00 1.79908e+00 1.73071e+01
1.75000e+01 4.17136e+01 3.82645e+01 3.87006e+01 7.99781e+01 8.04142e+01 7.69651e+01 1.18679e+02 1.19097e+00 1.09249e+00 1.10494e+00 1.61465e+00 1.62345e+00 1.55382e+00 1.95630e+00 1.83050e+01
1.85000e+01 4.35617e+01 4.07482e+01 4.06043e+01 8.43098e+01 8.41660e+01 8.13525e+01 1.24914e+02 1.27644e+00 1.19400e+00 1.18978e+00 1.74686e+00 1.74388e+00 1.68559e+00 2.11323e+00 1.92828e+01
1.95000e+01 4.69808e+01 4.20125e+01 4.23987e+01 8.89933e+01 8.93795e+01 8.44113e+01 1.31392e+02 1.41375e+00 1.26424e+00 1.27586e+00 1.89362e+00 1.90184e+00 1.79612e+00 2.28276e+00 2.03390e+01
2.05000e+01 4.82111e+01 4.47476e+01 4.42994e+01 9.29588e+01 9.25105e+01 8.90470e+01 1.37258e+02 1.48416e+00 1.37754e+00 1.36374e+00 2.02353e+00 2.01377e+00 1.93838e+00 2.43956e+00 2.12878e+01
2.15000e+01 5.06653e+01 4.57944e+01 4.69668e+01 9.64596e+01 9.76320e+01 9.27611e+01 1.43426e+02 1.59642e+00 1.44294e+00 1.47988e+00 2.14915e+00 2.17527e+00 2.06675e+00 2.60919e+00 2.23032e+01
2.25000e+01 5.30814e+01 4.79968e+01 4.85317e+01 1.01078e+02 1.01613e+02 9.65285e+01 1.49610e+02 1.70847e+00 1.54482e+00 1.56203e+00 2.30042e+00 2.31260e+00 2.19687e+00 2.78013e+00 2.32728e+01
