      TIME       MSD_x       DSD_y       MSD_z      MSD_xy      MSD_xz      MSD_yz     MSD_xyz       STD_x       STD_y       STD_z      STD_xy      STD_xz      STD_yz     STD_xyz        N_eff
5.00000e-01 1.87596e+00 1.87596e+00 1.87596e+00 3.75192e+00 3.75192e+00 3.75192e+00 5.62788e+00 5.07951e-03 5.07951e-03 5.07951e-03 7.18352e-03 7.18352e-03 7.18352e-03 8.79797e-03 1.11199e+00
1.50000e+00 1.57805e+00 1.57861e+00 1.57861e+00 3.15666e+00 3.15666e+00 3.15722e+00 4.73527e+00 4.47592e-03 4.47751e-03 4.47751e-03 6.33104e-03 6.33104e-03 6.33216e-03 7.75436e-03 1.34063e+00
2.50000e+00 1.40906e+00 1.41172e+00 1.41039e+00 2.82078e+00 2.81945e+00 2.82211e+00 4.23117e+00 4.17557e-03 4.18345e-03 4.17951e-03 5.91072e-03 5.90793e-03 5.91351e-03 7.23912e-03 1.54736e+00
3.50000e+00 1.37606e+00 1.37801e+00 1.37215e+00 2.75407e+00 2.74820e+00 2.75016e+00 4.12622e+00 4.18818e-03 4.19414e-03 4.17628e-03 5.92720e-03 5.91457e-03 5.91878e-03 7.25071e-03 1.67457e+00
4.50000e+00 1.36126e+00 1.36736e+00 1.36997e+00 2.72862e+00 2.73123e+00 2.73733e+00 4.09859e+00 4.23571e-03 4.25469e-03 4.26283e-03 6.00362e-03 6.00937e-03 6.02280e-03 7.36308e-03 1.78167e+00
5.50000e+00 1.40870e+00 1.39754e+00 1.39977e+00 2.80624e+00 2.80848e+00 2.79731e+00 4.20602e+00 4.47238e-03 4.43694e-03 4.44402e-03 6.29984e-03 6.30485e-03 6.27979e-03 7.70955e-03 1.88115e+00
6.50000e+00 1.46703e+00 1.47519e+00 1.48198e+00 2.94222e+00 2.94901e+00 2.95717e+00 4.42420e+00 4.71011e-03 4.73630e-03 4.75812e-03 6.67962e-03 6.69505e-03 6.71357e-03 8.20099e-03 1.93762e+00
7.50000e+00 1.51308e+00 1.54557e+00 1.52608e+00 3.05865e+00 3.03916e+00 3.07165e+00 4.58473e+00 4.99129e-03 5.09849e-03 5.03417e-03 7.13455e-03 7.08907e-03 7.16487e-03 8.73181e-03 2.00294e+00
8.50000e+00 1.58767e+00 1.61279e+00 1.58573e+00 3.20046e+00 3.17340e+00 3.19853e+00 4.78619e+00 5.30670e-03 5.39068e-03 5.30024e-03 7.56419e-03 7.50024e-03 7.55963e-03 9.23624e-03 2.07123e+00
9.50000e+00 1.65142e+00 1.64032e+00 1.65142e+00 3.29174e+00 3.30284e+00 3.29174e+00 4.94316e+00 5.54228e-03 5.50500e-03 5.54228e-03 7.81161e-03 7.83796e-03 7.81161e-03 9.57798e-03 2.09256e+00
