      TIME       MSD_x       DSD_y       MSD_z      MSD_xy      MSD_xz      MSD_yz     MSD_xyz       STD_x       STD_y       STD_z      STD_xy      STD_xz      STD_yz     STD_xyz        N_eff
5.00000e-01 1.66846e+00 1.66925e+00 1.66839e+00 3.33771e+00 3.33685e+00 3.33764e+00 5.00610e+00 4.69562e-03 4.69785e-03 4.69541e-03 6.64218e-03 6.64046e-03 6.64204e-03 8.13422e-03 1.30350e+00
1.50000e+00 1.42423e+00 1.43101e+00 1.43042e+00 2.85524e+00 2.85465e+00 2.86142e+00 4.28566e+00 4.52230e-03 4.54382e-03 4.54195e-03 6.41071e-03 6.40939e-03 6.42461e-03 7.85662e-03 1.88184e+00
2.50000e+00 1.65809e+00 1.65925e+00 1.67610e+00 3.31734e+00 3.33419e+00 3.33535e+00 4.99344e+00 5.57494e-03 5.57885e-03 5.63550e-03 7.88692e-03 7.92698e-03 7.92974e-03 9.69330e-03 2.10230e+00
3.50000e+00 1.87151e+00 1.86352e+00 1.86352e+00 3.73503e+00 3.73503e+00 3.72704e+00 5.59855e+00 6.39014e-03 6.36284e-03 6.36284e-03 9.01772e-03 9.01772e-03 8.99841e-03 1.10365e-02 2.18440e+00
4.50000e+00 2.01059e+00 2.02892e+00 1.94093e+00 4.03950e+00 3.95151e+00 3.96984e+00 5.98043e+00 6.96106e-03 7.02453e-03 6.71989e-03 9.88930e-03 9.67390e-03 9.71877e-03 1.19543e-02 2.26008e+00
5.50000e+00 2.09458e+00 2.05674e+00 2.01561e+00 4.15132e+00 4.11019e+00 4.07236e+00 6.16693e+00 7.27284e-03 7.14146e-03 6.99866e-03 1.01924e-02 1.00915e-02 9.99858e-03 1.23628e-02 2.27601e+00
6.50000e+00 2.17298e+00 2.13385e+00 2.05558e+00 4.30683e+00 4.22856e+00 4.18942e+00 6.36240e+00 7.66031e-03 7.52235e-03 7.24643e-03 1.07358e-02 1.05407e-02 1.04431e-02 1.29494e-02 2.36070e+00
7.50000e+00 2.18266e+00 2.13425e+00 2.12916e+00 4.31691e+00 4.31182e+00 4.26341e+00 6.44607e+00 7.58856e-03 7.42027e-03 7.40256e-03 1.06128e-02 1.06003e-02 1.04813e-02 1.29392e-02 2.28322e+00
8.50000e+00 2.27331e+00 2.23057e+00 2.26415e+00 4.50388e+00 4.53745e+00 4.49472e+00 6.76802e+00 8.03475e-03 7.88371e-03 8.00239e-03 1.12561e-02 1.13400e-02 1.12332e-02 1.38107e-02 2.37537e+00
9.50000e+00 2.17543e+00 2.22954e+00 2.32085e+00 4.40496e+00 4.49628e+00 4.55039e+00 6.72581e+00 7.60993e-03 7.79922e-03 8.11864e-03 1.08959e-02 1.11218e-02 1.12556e-02 1.35838e-02 2.31731e+00
1.05000e+01 2.30450e+00 2.24830e+00 2.31253e+00 4.55280e+00 4.61704e+00 4.56083e+00 6.86533e+00 8.08225e-03 7.88512e-03 8.11041e-03 1.12906e-02 1.14499e-02 1.13105e-02 1.39013e-02 2.33172e+00
1.15000e+01 2.27554e+00 2.40674e+00 2.39034e+00 4.68228e+00 4.66588e+00 4.79708e+00 7.07262e+00 8.10124e-03 8.56833e-03 8.50995e-03 1.17872e-02 1.17459e-02 1.20762e-02 1.45374e-02 2.41679e+00
1.25000e+01 2.26810e+00 2.39307e+00 2.36808e+00 4.66117e+00 4.63618e+00 4.76115e+00 7.02925e+00 8.01596e-03 8.45761e-03 8.36928e-03 1.16486e-02 1.15861e-02 1.18984e-02 1.43430e-02 2.37508e+00
1.35000e+01 2.32605e+00 2.41710e+00 2.45693e+00 4.74315e+00 4.78298e+00 4.87403e+00 7.20008e+00 8.29184e-03 8.61641e-03 8.75841e-03 1.19559e-02 1.20563e-02 1.22859e-02 1.48187e-02 2.42426e+00
1.45000e+01 2.32804e+00 2.33451e+00 2.43158e+00 4.66255e+00 4.75962e+00 4.76609e+00 7.09413e+00 8.32666e-03 8.34981e-03 8.69699e-03 1.17920e-02 1.20375e-02 1.20539e-02 1.46494e-02 2.44349e+00
1.55000e+01 2.43894e+00 2.42614e+00 2.41333e+00 4.86508e+00 4.85227e+00 4.83947e+00 7.27841e+00 8.74285e-03 8.69695e-03 8.65106e-03 1.23318e-02 1.22993e-02 1.22669e-02 1.50636e-02 2.45644e+00
1.65000e+01 2.31081e+00 2.50338e+00 2.45154e+00 4.81420e+00 4.76235e+00 4.95492e+00 7.26573e+00 8.29926e-03 8.99086e-03 8.80466e-03 1.22260e-02 1.20943e-02 1.25833e-02 1.50658e-02 2.46744e+00
1.75000e+01 2.51163e+00 2.45209e+00 2.34150e+00 4.96372e+00 4.85313e+00 4.79358e+00 7.30522e+00 9.36719e-03 9.14511e-03 8.73267e-03 1.30902e-02 1.27985e-02 1.26415e-02 1.57299e-02 2.69365e+00
1.85000e+01 2.40865e+00 2.54185e+00 2.45305e+00 4.95050e+00 4.86171e+00 4.99490e+00 7.40356e+00 8.86211e-03 9.35218e-03 9.02547e-03 1.28794e-02 1.26484e-02 1.29950e-02 1.57269e-02 2.61070e+00
1.95000e+01 2.63620e+00 2.41420e+00 2.54740e+00 5.05040e+00 5.18360e+00 4.96160e+00 7.59780e+00 9.43816e-03 8.64337e-03 9.12024e-03 1.27856e-02 1.31228e-02 1.25608e-02 1.57049e-02 2.44920e+00
2.05000e+01 2.41756e+00 2.33142e+00 2.41756e+00 4.74898e+00 4.83513e+00 4.74898e+00 7.16654e+00 8.36118e-03 8.06323e-03 8.36118e-03 1.16138e-02 1.18245e-02 1.16138e-02 1.43100e-02 2.25422e+00
2.15000e+01 2.62543e+00 2.56933e+00 2.56933e+00 5.19476e+00 5.19476e+00 5.13866e+00 7.76409e+00 9.39871e-03 9.19788e-03 9.19788e-03 1.31498e-02 1.31498e-02 1.30078e-02 1.60471e-02 2.44865e+00
