      TIME       MSD_x       DSD_y       MSD_z      MSD_xy      MSD_xz      MSD_yz     MSD_xyz       STD_x       STD_y       STD_z      STD_xy      STD_xz      STD_yz     STD_xyz        N_eff
5.00000e-01 8.08946e+00 8.73441e+00 8.75985e+00 1.68239e+01 1.68493e+01 1.74943e+01 2.55837e+01 3.27607e-02 3.53726e-02 3.54756e-02 4.81775e-02 4.82503e-02 5.00973e-02 5.98186e-02 3.47255e+00
1.50000e+00 1.88912e+01 2.09820e+01 2.11821e+01 3.98732e+01 4.00733e+01 4.21641e+01 6.10553e+01 1.18448e-01 1.31557e-01 1.32812e-01 1.76780e-01 1.77667e-01 1.86937e-01 2.21019e-01 8.39316e+00
2.50000e+00 2.90852e+01 3.34043e+01 3.39474e+01 6.24895e+01 6.30326e+01 6.73517e+01 9.64369e+01 2.32054e-01 2.66513e-01 2.70847e-01 3.52540e-01 3.55604e-01 3.79971e-01 4.44221e-01 1.33056e+01
3.50000e+00 3.88551e+01 4.56671e+01 4.70684e+01 8.45222e+01 8.59236e+01 9.27355e+01 1.31591e+02 3.67084e-01 4.31440e-01 4.44679e-01 5.64641e-01 5.74003e-01 6.19509e-01 7.17763e-01 1.82085e+01
4.50000e+00 4.81404e+01 5.79101e+01 6.05238e+01 1.06051e+02 1.08664e+02 1.18434e+02 1.66574e+02 5.18991e-01 6.24317e-01 6.52494e-01 8.08441e-01 8.28366e-01 9.02842e-01 1.03681e+00 2.31140e+01
5.50000e+00 5.72195e+01 7.00851e+01 7.43692e+01 1.27305e+02 1.31589e+02 1.44454e+02 2.01674e+02 6.87997e-01 8.42690e-01 8.94202e-01 1.08236e+00 1.11878e+00 1.22817e+00 1.40001e+00 2.80071e+01
6.50000e+00 6.59765e+01 8.24680e+01 8.88305e+01 1.48445e+02 1.54807e+02 1.71299e+02 2.37275e+02 8.68965e-01 1.08617e+00 1.16997e+00 1.38249e+00 1.44175e+00 1.59533e+00 1.80428e+00 3.28948e+01
7.50000e+00 7.45170e+01 9.47193e+01 1.03283e+02 1.69236e+02 1.77800e+02 1.98002e+02 2.72519e+02 1.06614e+00 1.35518e+00 1.47770e+00 1.71213e+00 1.79876e+00 2.00314e+00 2.25109e+00 3.77712e+01
8.50000e+00 8.26361e+01 1.06359e+02 1.18764e+02 1.88995e+02 2.01400e+02 2.25122e+02 3.07758e+02 1.27398e+00 1.63971e+00 1.83096e+00 2.06029e+00 2.19552e+00 2.45413e+00 2.73932e+00 4.26507e+01
9.50000e+00 9.08442e+01 1.18189e+02 1.34714e+02 2.09033e+02 2.25559e+02 2.52903e+02 3.43747e+02 1.49977e+00 1.95121e+00 2.22404e+00 2.44021e+00 2.63313e+00 2.95234e+00 3.27647e+00 4.75362e+01
